Energy,CCDF
6767252.01703459,1
6781306.39200573,0.99792531120332
6853192.25877759,0.995850622406639
6873451.46942381,0.993775933609959
6978449.55484364,0.991701244813278
6983044.43291185,0.989626556016598
7072803.82947528,0.987551867219917
7079848.83976242,0.985477178423237
7111835.91480127,0.983402489626556
7114574.13792726,0.981327800829875
7124263.61110071,0.979253112033195
7130458.10790697,0.977178423236514
7146922.62384344,0.975103734439834
7157017.63649697,0.973029045643154
7168783.46469695,0.970954356846473
7187052.53076496,0.968879668049793
7235492.02165203,0.966804979253112
7244449.81965004,0.964730290456432
7251469.3130648,0.962655601659751
7255071.83316834,0.960580912863071
7271744.70298589,0.95850622406639
7277810.40826471,0.95643153526971
7281156.6099761,0.954356846473029
7290165.68806272,0.952282157676348
7302424.4809268,0.950207468879668
7314181.32768907,0.948132780082988
7317938.95100177,0.946058091286307
7319206.9651014,0.943983402489627
7320987.32914846,0.941908713692946
7325618.34644429,0.939834024896266
7331959.83603668,0.937759336099585
7338850.61867679,0.935684647302905
7347149.98590927,0.933609958506224
7352035.91411361,0.931535269709544
7362369.58350798,0.929460580912863
7365281.93333317,0.927385892116183
7366131.85517661,0.925311203319502
7369400.92798098,0.923236514522822
7381605.21674729,0.921161825726141
7385514.25562994,0.919087136929461
7386079.73272401,0.91701244813278
7386181.6158516,0.9149377593361
7397811.10515848,0.912863070539419
7399223.72356304,0.910788381742739
7399969.99328417,0.908713692946058
7400113.75335927,0.906639004149378
7400975.21748446,0.904564315352697
7411518.72787365,0.902489626556017
7413068.82246209,0.900414937759336
7414829.62259687,0.898340248962656
7415074.49855683,0.896265560165975
7415332.24109015,0.894190871369295
7422302.36361561,0.892116182572614
7428994.93773094,0.890041493775934
7429940.22715915,0.887966804979253
7434104.57756538,0.885892116182573
7443194.86657686,0.883817427385892
7443272.90385085,0.881742738589212
7450068.39899765,0.879668049792531
7466328.2163282,0.877593360995851
7478070.05254168,0.87551867219917
7495104.57774897,0.87344398340249
7511274.26569857,0.871369294605809
7517464.3810916,0.869294605809129
7531420.35150533,0.867219917012448
7533621.77928119,0.865145228215768
7551813.94465707,0.863070539419087
7553993.44664885,0.860995850622407
7578114.46601664,0.858921161825726
7584586.92623204,0.856846473029046
7586579.40300443,0.854771784232365
7587250.59520295,0.852697095435685
7590630.42140771,0.850622406639004
7592781.19024363,0.848547717842324
7609764.77086154,0.846473029045643
7610348.16926168,0.844398340248963
7611454.41357076,0.842323651452282
7612144.87192498,0.840248962655602
7613554.65061977,0.838174273858921
7615375.61407192,0.836099585062241
7623189.69338673,0.83402489626556
7627803.03345032,0.83195020746888
7634088.16475733,0.829875518672199
7634127.54848162,0.827800829875519
7648772.96523211,0.825726141078838
7655144.94691969,0.823651452282158
7665369.84713772,0.821576763485477
7666997.73306647,0.819502074688797
7675681.38745326,0.817427385892116
7682491.29416265,0.815352697095436
7683566.49945547,0.813278008298755
7691438.96677016,0.811203319502075
7709748.07069673,0.809128630705394
7720345.67446484,0.807053941908714
7727655.10456732,0.804979253112033
7728688.05481622,0.802904564315353
7731314.43467719,0.800829875518672
7738916.56129124,0.798755186721992
7741887.89153706,0.796680497925311
7744576.99793815,0.794605809128631
7749479.06935458,0.79253112033195
7754194.85325934,0.79045643153527
7760562.2864665,0.788381742738589
7771368.99308989,0.786307053941909
7777560.19749972,0.784232365145228
7780487.99116416,0.782157676348548
7787415.65206421,0.780082987551867
7801156.27174497,0.778008298755187
7802391.91429187,0.775933609958506
7804352.3477519,0.773858921161826
7804432.38512076,0.771784232365145
7818083.98025007,0.769709543568465
7818519.28624523,0.767634854771784
7826662.24344214,0.765560165975104
7864256.09804249,0.763485477178423
7869941.46385692,0.761410788381743
7871886.17602304,0.759336099585062
7874090.72291227,0.757261410788382
7876509.71280115,0.755186721991701
7884994.15473432,0.753112033195021
7885128.4666627,0.75103734439834
7886087.48247456,0.74896265560166
7890903.15699303,0.746887966804979
7895162.67564921,0.744813278008299
7895537.63199353,0.742738589211618
7907358.93074817,0.740663900414938
7910480.58818382,0.738589211618257
7926589.22365753,0.736514522821577
7934182.22216009,0.734439834024896
7939060.63099549,0.732365145228216
7941038.98516195,0.730290456431535
7943890.72503673,0.728215767634855
7948228.19999675,0.726141078838174
7954854.36238571,0.724066390041494
7965463.61041132,0.721991701244813
7973550.44851247,0.719917012448133
7975687.55631929,0.717842323651452
7976678.28703689,0.715767634854772
7990774.06733642,0.713692946058091
7994201.00624911,0.711618257261411
7995395.84545019,0.70954356846473
7997501.81242896,0.70746887966805
8009139.09130287,0.705394190871369
8027389.34485979,0.703319502074689
8029600.73253862,0.701244813278008
8042932.45147126,0.699170124481328
8063577.56773029,0.697095435684647
8086451.09679264,0.695020746887967
8094702.02994218,0.692946058091286
8102512.0402713,0.690871369294606
8109256.01051293,0.688796680497925
8113074.52640937,0.686721991701245
8117917.59964824,0.684647302904564
8134472.41654544,0.682572614107884
8140115.20363694,0.680497925311203
8148095.01778165,0.678423236514523
8153037.82121737,0.676348547717842
8171238.94288988,0.674273858921162
8185911.76938786,0.672199170124481
8192405.73680137,0.670124481327801
8198004.65086508,0.66804979253112
8214632.35274706,0.66597510373444
8225915.17639773,0.663900414937759
8229411.48877743,0.661825726141079
8232727.84611512,0.659751037344398
8236088.2029401,0.657676348547718
8240277.1280527,0.655601659751037
8241994.97623941,0.653526970954357
8243141.27462215,0.651452282157676
8245392.48510539,0.649377593360996
8246185.6468941,0.647302904564315
8248304.68470286,0.645228215767635
8266516.4899236,0.643153526970954
8275020.29668534,0.641078838174274
8281093.74299134,0.639004149377593
8289941.62818139,0.636929460580913
8290736.93430439,0.634854771784232
8290795.34209627,0.632780082987552
8296215.08491311,0.630705394190871
8296686.77803601,0.628630705394191
8300862.9851822,0.62655601659751
8301509.77246996,0.62448132780083
8317007.41802465,0.622406639004149
8319009.5105003,0.620331950207469
8319905.75026636,0.618257261410788
8322998.87915614,0.616182572614108
8323366.68223257,0.614107883817427
8346333.50165615,0.612033195020747
8346424.47904789,0.609958506224066
8350794.55577734,0.607883817427386
8354241.28685266,0.605809128630705
8356114.80667828,0.603734439834025
8359955.90895001,0.601659751037344
8365385.08018774,0.599585062240664
8372874.16337024,0.597510373443983
8381855.53071922,0.595435684647303
8384138.39076675,0.593360995850622
8393790.73652451,0.591286307053942
8394663.23503656,0.589211618257261
8400503.84567858,0.587136929460581
8401190.45327919,0.5850622406639
8403780.9159965,0.58298755186722
8407707.50181345,0.580912863070539
8408587.42964964,0.578838174273859
8410324.47632166,0.576763485477178
8412787.76230993,0.574688796680498
8422127.88712058,0.572614107883817
8426403.18092799,0.570539419087137
8434605.98049255,0.568464730290456
8436998.74061635,0.566390041493776
8442519.43821718,0.564315352697095
8448905.83272485,0.562240663900415
8450450.25248646,0.560165975103734
8459478.6502947,0.558091286307054
8466908.72335245,0.556016597510373
8474019.09448035,0.553941908713693
8477604.67110498,0.551867219917012
8483487.46529931,0.549792531120332
8496802.93927779,0.547717842323652
8505832.98434041,0.545643153526971
8506855.06513271,0.54356846473029
8511555.55784943,0.54149377593361
8519289.14900114,0.539419087136929
8520250.65180304,0.537344398340249
8533811.4633223,0.535269709543568
8536162.97607873,0.533195020746888
8542043.93918013,0.531120331950207
8546945.3203149,0.529045643153527
8548873.26866641,0.526970954356846
8551413.19935564,0.524896265560166
8552426.69401246,0.522821576763486
8557452.0607584,0.520746887966805
8560590.94698576,0.518672199170125
8563631.12849092,0.516597510373444
8565004.65219552,0.514522821576763
8566579.09723335,0.512448132780083
8568089.46084961,0.510373443983402
8574891.37871641,0.508298755186722
8575601.98688757,0.506224066390041
8575641.85896179,0.504149377593361
8585832.57022335,0.50207468879668
8587914.91728899,0.5
8588577.752706,0.49792531120332
8610950.45990768,0.495850622406639
8614854.16551612,0.493775933609959
8617944.815379,0.491701244813278
8621737.46510006,0.489626556016597
8624099.47858929,0.487551867219917
8626339.832177,0.485477178423237
8629837.12763465,0.483402489626556
8631202.24456117,0.481327800829876
8634370.7393964,0.479253112033195
8635537.92583802,0.477178423236515
8642142.92644992,0.475103734439834
8645449.07853496,0.473029045643154
8645989.0708456,0.470954356846473
8650249.06231078,0.468879668049793
8666999.89352353,0.466804979253112
8668858.50678226,0.464730290456432
8674471.81941231,0.462655601659751
8684320.77135336,0.460580912863071
8695591.43560556,0.45850622406639
8695906.8853948,0.45643153526971
8700073.76325669,0.454356846473029
8701196.53963043,0.452282157676349
8709871.19988742,0.450207468879668
8721838.98172125,0.448132780082988
8722379.99782885,0.446058091286307
8723626.8556771,0.443983402489627
8735290.04969045,0.441908713692946
8737411.25458715,0.439834024896266
8738203.4264926,0.437759336099585
8749115.94895658,0.435684647302905
8750741.83519008,0.433609958506224
8752277.4539111,0.431535269709544
8754392.05122862,0.429460580912863
8763515.58855553,0.427385892116183
8767861.91932776,0.425311203319502
8774262.5254678,0.423236514522822
8775134.47705042,0.421161825726141
8787656.47835734,0.419087136929461
8797318.68270561,0.41701244813278
8809730.35227051,0.4149377593361
8818222.5764743,0.412863070539419
8837614.04575705,0.410788381742739
8840569.71633867,0.408713692946058
8841476.53531672,0.406639004149378
8848752.27049403,0.404564315352697
8876288.26381002,0.402489626556017
8881904.70737301,0.400414937759336
8882082.02192228,0.398340248962656
8890800.67312375,0.396265560165975
8926784.04301584,0.394190871369295
8929779.03095007,0.392116182572614
8931593.78354274,0.390041493775934
8932006.34486386,0.387966804979253
8934655.88070169,0.385892116182573
8937518.873511,0.383817427385892
8956638.41509327,0.381742738589212
8957447.99739208,0.379668049792531
8958758.8959569,0.377593360995851
8970244.12756387,0.37551867219917
8971815.56629271,0.37344398340249
8972025.3078895,0.371369294605809
8981289.72039745,0.369294605809129
8987746.22212045,0.367219917012448
8994966.15548222,0.365145228215768
8996228.49598141,0.363070539419087
9014860.92237362,0.360995850622407
9022045.87596322,0.358921161825726
9023543.78809572,0.356846473029046
9025887.99168974,0.354771784232365
9028932.38358411,0.352697095435685
9085340.74342583,0.350622406639004
9085904.44238864,0.348547717842324
9086810.74810443,0.346473029045643
9102999.08556964,0.344398340248963
9103198.59504454,0.342323651452282
9103394.26701365,0.340248962655602
9129280.2175742,0.338174273858921
9141826.14742792,0.336099585062241
9142483.65555023,0.33402489626556
9154486.46966597,0.33195020746888
9158645.8613505,0.329875518672199
9160575.79856093,0.327800829875519
9161476.04565039,0.325726141078838
9191703.05333978,0.323651452282158
9196659.65844967,0.321576763485477
9232077.11578383,0.319502074688797
9238501.54175204,0.317427385892116
9239952.89627861,0.315352697095436
9241327.45634247,0.313278008298755
9242300.20325514,0.311203319502075
9244679.36667501,0.309128630705394
9251850.44427334,0.307053941908714
9252441.24265457,0.304979253112033
9256925.20886781,0.302904564315353
9264052.96228382,0.300829875518672
9291334.65248558,0.298755186721992
9301941.39692765,0.296680497925311
9302204.27153938,0.294605809128631
9305844.07594564,0.29253112033195
9316530.05567162,0.29045643153527
9337117.79830349,0.288381742738589
9347625.51164182,0.286307053941909
9352071.99371455,0.284232365145228
9371017.6418232,0.282157676348548
9375535.09060959,0.280082987551867
9378471.96834987,0.278008298755187
9390182.14664768,0.275933609958506
9420429.84642426,0.273858921161826
9434138.98960598,0.271784232365145
9437889.66975532,0.269709543568465
9448201.49401401,0.267634854771784
9459658.56206422,0.265560165975104
9480103.02906524,0.263485477178423
