#Lag SPDC QW_TOA PHASE
1 0.0011255936885875 0.0010874763410911054 -0.0006603596378514015
2 0.0017031164890340944 -0.0003650290602194103 -2.785633312304406e-05
3 0.0022806421495679815 -0.0004925309263483709 0.001909672083063486
4 -0.0010969092214649905 0.0013999868377463523 0.0014371791989154802
5 -0.0005144006794819995 0.0015974919819094762 0.0007596723985768518
6 0.0008881287134234805 -0.001565050718817121 -0.001792862810739516
7 0.001520646350369758 -0.00020753166937263897 0.0019897095967087958
8 -0.0018869414791577118 -0.0011200496320586827 0.0024522251298138924
9 0.0012906602806156803 -0.0009575487902861077 -2.032297188306287e-05
10 0.0006181289403708014 -0.0015500651932319582 -0.0009328400164412155
11 -0.000724428844336834 0.00011247668910291886 -0.0006303331916103485
12 0.0013381454758296812 -0.0030651184353049517 -0.0017978730800040144
13 -0.0010644327216691473 0.0020175392161938936 -0.0004603387457951884
14 -0.000561914305309964 0.0013800219362948127 0.0005721991432140001
15 -0.001679465380202346 0.0018325423614905525 -0.0024654219115984957
16 0.0007831458467987564 0.0022350630605023616 0.0003071906417748217
17 0.001495683011629403 0.00034248896971372827 -0.0025754476739938024
18 -0.00042692616990904365 0.00091501559797534 -0.0016129080743009026
19 0.0005356251560604056 0.0011175275162083346 -0.001465413121586869
20 -0.0007969625068478431 -0.0016051066990519865 0.0002621829098262073
21 -0.0029495792361611465 0.0017575659109869697 -0.0012353992857269086
22 0.0013131773115931753 0.0033651579488111617 0.0009172220881387926
23 -0.001504500824666042 -0.0002225400224267335 -0.0010303931336469324
24 -0.0008269461289202262 -1.5028953842108836e-05 -0.00039785596753947634
25 -0.0017045091773888286 -0.000617567511378131 0.0007297082824954186
26 -0.001011963599281718 -0.0019701561672653416 0.0023923229092734834
27 0.0003906381261690386 -0.0008675866196037453 -0.0008204055372630017
28 -0.0007769506231303004 -0.0016951467598100263 -0.0021280028698085827
29 0.0011307119740260694 0.001177557372696855 0.00270986473507564
30 -0.0019070338605733698 -0.001055108040790131 0.0001921755458853341
31 -0.0005394101332229797 -0.0017026608515081161 -0.001095427394893234
32 0.0001881385949530226 0.0004200048102617092 0.00013216312161611158
33 0.002990889647493675 -0.0015676581234707694 0.0007297228711954721
34 0.0018632936122085005 -0.0005400738238849317 -0.0019229998898358418
35 0.0013407358326922435 -0.0017126769772536248 5.967436148446603e-05
36 0.0009832046443809883 -0.002650265599090444 -0.0008128980844145576
37 -0.0021146009300716207 -0.0025627649620685805 -0.0007153824277365438
38 -0.00022191326577746605 -0.0024152565182395764 0.002117392843900754
39 0.0004506562542169114 0.0005375255021618484 -0.0006603805012514042
40 -0.0016370659028720192 0.002345208480890462 0.0003322199255505583
41 -0.0005694400957924684 0.0022627050680615306 -0.0011254327189706807
42 0.001248274918128234 0.0025852446943008802 0.002512465039244308
43 -8.937485311059298e-05 -0.0012576612413461375 0.0011148171006149109
44 -0.0012220205848151792 0.001875180217048876 0.000552248041947451
45 -9.938974502819728e-05 -0.001202661340819329 -0.002635618222455047
46 0.0010782404112165025 0.0005200339149183347 0.0011673232538311194
47 0.00030566010320586597 0.001107603452234696 -0.0002603455602523486
48 -0.0028672548832086317 0.002010214453053695 0.00039223398431813657
49 0.0005206631744044739 -0.001512711357132552 4.469134947620341e-05
50 0.0008282181488682066 0.0004600314129538398 0.0006222568858188087
51 0.002500944909135157 -0.003217936557208123 0.0017699163806375513
52 -0.0005069605196451267 0.0007250680246924028 -0.0010079481859231823
53 0.0003356557559302607 0.0020677478469443684 -0.0013004987049255318
54 -0.002687285521839847 -0.0013052016143554664 -0.001718059543859381
55 -0.00027945770370738256 0.0010276160266006321 0.0027200505374760076
56 -0.0011420983305313083 -0.0016452548804358543 -0.00019286714661900667
57 0.0005706548550727413 0.0030429083959331578 0.005425457303714835
58 3.808850834472581e-05 0.002330313450425685 -0.0018931110714504892
59 -0.0008445608804675241 0.0007075806631176478 0.0020199724661316616
60 -0.001142109822712936 0.0012351623500174386 0.0003722257130586258
61 0.000895699036869069 1.247818085865479e-05 -0.001945633430708187
62 -0.002082281115698241 0.0013001770563013937 0.0006872772850341475
63 -0.0015147062073988438 -0.0003175746110739101 0.0011198483946508724
64 6.805434909765298e-05 -0.0028654830531801563 -6.784224983524454e-05
65 0.0007306669057227229 0.0015277238834287877 0.0004747472492491299
66 -8.697175338746017e-05 0.0017502645339487468 0.0022025300034706507
67 -0.0006295798549836726 -0.001317745165874883 0.0009598153944766661
68 -0.0021073430994072383 0.0018602926661816176 -0.0018131699790323776
69 -0.00024451417940591296 -0.00010254210155850657 0.00042472635243857886
70 0.001123247266476724 -0.00027007177363202605 0.0025276013808310425
71 0.002140924608255494 0.00033753619792848696 -0.002390779309507747
72 1.3031981924137868e-05 -0.0025854884029757525 0.0002121906360012822
73 0.0010607173086968323 -0.0010377116038394368 -0.001800673473372417
74 -0.0002620472319010438 0.0013102209658217765 -0.0012380723095473563
75 0.0007306452782751441 0.000977661135851791 -0.002040736640812123
76 0.002068423820831703 -0.0007001551497148982 -0.0007129772549211434
77 0.00039059439205599186 -2.521845873020238e-06 0.000604769936191737
78 -0.0031276153921911158 0.0006050959032501881 -0.0008330130155406113
79 0.0011507384229685134 -0.001837884383363235 -0.002305801723444321
80 -0.001077220006602723 0.0006101014042292019 0.0005322765961226343
81 0.002636055111940331 0.002342953975731153 0.0019100524159848596
82 -0.0002520504935623889 0.0023204544904830713 0.003112807158078959
83 0.0011357597476382864 -0.0027730960001491408 0.0021051029789725855
84 -0.0009672069762672298 -0.0015453443586434029 -0.00011785647815288079
85 -0.0020849546490274086 -0.0019379323754759252 0.0001297049348204132
86 -0.0006421394581091796 -0.0023755311950352034 -0.0016581841726452102
87 7.553325587430858e-05 0.0015378139844460818 0.0015150107839974269
