z psi1 psi2 psi3 psi4 psi5
-2.359859859859859910e+00 1.815974451014490342e+03 -3.616916291099914361e+03 5.387917347980062004e+03 7.114317296430899660e+03 8.781825014931639089e+03
-2.354854854854854906e+00 1.878412208831986845e+03 -3.740184879558502871e+03 5.568825870876079534e+03 7.348136529245863130e+03 9.062355179983263952e+03
-2.349849849849849903e+00 1.940831464502098697e+03 -3.863306106791119873e+03 5.749240726280083436e+03 7.580797723325586048e+03 9.340653809707553592e+03
-2.344844844844844900e+00 2.003231603202227006e+03 -3.986275121889160346e+03 5.929145920704166201e+03 7.812264212139180927e+03 9.616652375205383578e+03
-2.339839839839839897e+00 2.065612010298067617e+03 -4.109087079941082266e+03 6.108525505841023914e+03 8.042499517436801398e+03 9.890282913950744842e+03
-2.334834834834834894e+00 2.127972071349690395e+03 -4.231737142223347291e+03 6.287363579977839436e+03 8.271467354998574592e+03 1.016147804652612467e+04
-2.329829829829829890e+00 2.190311172117560545e+03 -4.354220476390993099e+03 6.465644289405843665e+03 8.499131640352754403e+03 1.043017099321399473e+04
-2.324824824824824887e+00 2.252628698568606069e+03 -4.476532256668071568e+03 6.643351829825774075e+03 8.725456494462538103e+03 1.069629559044092457e+04
-2.319819819819819884e+00 2.314924036882244309e+03 -4.598667664037731811e+03 6.820470447748838524e+03 8.950406249380412191e+03 1.095978630706971671e+04
-2.314814814814814881e+00 2.377196573456470105e+03 -4.720621886432171777e+03 6.996984441893361691e+03 9.173945453869437188e+03 1.122057826053616736e+04
-2.309809809809809877e+00 2.439445694913843454e+03 -4.842390118922116017e+03 7.172878164576504787e+03 9.396038878990006197e+03 1.147860723282562140e+04
-2.304804804804804874e+00 2.501670788107563112e+03 -4.963967563906200667e+03 7.348136023101516002e+03 9.616651523651933530e+03 1.173380968628631854e+04
-2.299799799799799871e+00 2.563871240127504279e+03 -5.085349431299980097e+03 7.522742481139981464e+03 9.835748620130469135e+03 1.198612277927505056e+04
-2.294794794794794868e+00 2.626046438306268101e+03 -5.206530938724687076e+03 7.696682060109129452e+03 1.005329563954562582e+04 1.223548438163147512e+04
-2.289789789789789864e+00 2.688195770225209799e+03 -5.327507311695640965e+03 7.869939340543980506e+03 1.026925829730376427e+04 1.248183308997718086e+04
-2.284784784784784861e+00 2.750318623720446794e+03 -5.448273783810308487e+03 8.042498963464165172e+03 1.048360255850063186e+04 1.272510824283566944e+04
-2.279779779779779858e+00 2.812414386888920944e+03 -5.568825596936165311e+03 8.214345631735590359e+03 1.069629464328525501e+04 1.296524993556993468e+04
-2.274774774774774855e+00 2.874482448094384836e+03 -5.689158001398081069e+03 8.385464111426357704e+03 1.090730103218335717e+04 1.320219903513331519e+04
-2.269769769769769852e+00 2.936522195973463567e+03 -5.809266256165529740e+03 8.555839233157368653e+03 1.111658847138005513e+04 1.343589719463075744e+04
-2.264764764764764848e+00 2.998533019441689248e+03 -5.929145629039405321e+03 8.725455893447078779e+03 1.132412397796057667e+04 1.366628686768631633e+04
-2.259759759759759845e+00 3.060514307699485926e+03 -6.048791396838406399e+03 8.894299056050307627e+03 1.152987484510811373e+04 1.389331132261336825e+04
-2.254754754754754842e+00 3.122465450238187714e+03 -6.168198845585121489e+03 9.062353753291183239e+03 1.173380864725830179e+04 1.411691465638435875e+04
-2.249749749749749839e+00 3.184385836846052371e+03 -6.287363270691764228e+03 9.229605087389994878e+03 1.193589324520936862e+04 1.433704180839647961e+04
-2.244744744744744835e+00 3.246274857614280336e+03 -6.406279977145546582e+03 9.396038231783893934e+03 1.213609679118718486e+04 1.455363857402999201e+04
-2.239739739739739832e+00 3.308131902943027853e+03 -6.524944279693672797e+03 9.561638432441257464e+03 1.233438773386437606e+04 1.476665161799568705e+04
-2.234734734734734829e+00 3.369956363547440560e+03 -6.643351503027985927e+03 9.726391009169681638e+03 1.253073482333279208e+04 1.497602848746843665e+04
-2.229729729729729826e+00 3.431747630463596124e+03 -6.761496981969065018e+03 9.890281356917204903e+03 1.272510711602816991e+04 1.518171762500303339e+04
